DATE,CNP16OV
01/07/77,159185
01/08/77,159430
01/09/77,159674
01/10/77,159915
01/11/77,160129
01/12/77,160377
01/01/78,160617
01/02/78,160831
01/03/78,161038
01/04/78,161263
01/05/78,161518
01/06/78,161795
01/07/78,162034
01/08/78,162259
01/09/78,162502
01/10/78,162783
01/11/78,163017
01/12/78,163272
01/01/79,163516
01/02/79,163726
01/03/79,164027
01/04/79,164162
01/05/79,164459
01/06/79,164721
01/07/79,164970
01/08/79,165198
01/09/79,165431
01/10/79,165813
01/11/79,166051
01/12/79,166300
01/01/80,166544
01/02/80,166759
01/03/80,166984
01/04/80,167197
01/05/80,167407
01/06/80,167643
01/07/80,167932
01/08/80,168103
01/09/80,168297
01/10/80,168503
01/11/80,168695
01/12/80,168883
01/01/81,169104
01/02/81,169280
01/03/81,169453
01/04/81,169641
01/05/81,169829
01/06/81,170042
01/07/81,170246
01/08/81,170399
01/09/81,170593
01/10/81,170809
01/11/81,170996
01/12/81,171166
01/01/82,171335
01/02/82,171489
01/03/82,171667
01/04/82,171844
01/05/82,172026
01/06/82,172190
01/07/82,172364
01/08/82,172511
01/09/82,172690
01/10/82,172881
01/11/82,173058
01/12/82,173199
01/01/83,173354
01/02/83,173505
01/03/83,173656
01/04/83,173794
01/05/83,173953
01/06/83,174125
01/07/83,174306
01/08/83,174440
01/09/83,174602
01/10/83,174779
01/11/83,174951
01/12/83,175121
01/01/84,175533
01/02/84,175679
01/03/84,175824
01/04/84,175969
01/05/84,176123
01/06/84,176284
01/07/84,176440
01/08/84,176583
01/09/84,176763
01/10/84,176956
01/11/84,177135
01/12/84,177306
01/01/85,177384
01/02/85,177516
01/03/85,177667
01/04/85,177799
01/05/85,177944
01/06/85,178096
01/07/85,178263
01/08/85,178405
01/09/85,178572
01/10/85,178770
01/11/85,178940
01/12/85,179112
01/01/86,179670
01/02/86,179821
01/03/86,179985
01/04/86,180148
01/05/86,180311
01/06/86,180503
01/07/86,180682
01/08/86,180828
01/09/86,180997
01/10/86,181186
01/11/86,181363
01/12/86,181547
01/01/87,181827
01/02/87,181998
01/03/87,182179
01/04/87,182344
01/05/87,182533
01/06/87,182703
01/07/87,182885
01/08/87,183002
01/09/87,183161
01/10/87,183311
01/11/87,183470
01/12/87,183620
01/01/88,183822
01/02/88,183969
01/03/88,184111
01/04/88,184232
01/05/88,184374
01/06/88,184562
01/07/88,184729
01/08/88,184830
01/09/88,184962
01/10/88,185114
01/11/88,185244
01/12/88,185402
01/01/89,185644
01/02/89,185777
01/03/89,185897
01/04/89,186024
01/05/89,186181
01/06/89,186329
01/07/89,186483
01/08/89,186598
01/09/89,186726
01/10/89,186871
01/11/89,187017
01/12/89,187165
01/01/90,188413
01/02/90,188516
01/03/90,188630
01/04/90,188778
01/05/90,188913
01/06/90,189058
01/07/90,189188
01/08/90,189342
01/09/90,189528
01/10/90,189710
01/11/90,189872
01/12/90,190017
01/01/91,190163
01/02/91,190271
01/03/91,190381
01/04/91,190517
01/05/91,190650
01/06/91,190800
01/07/91,190946
01/08/91,191116
01/09/91,191302
01/10/91,191497
01/11/91,191657
01/12/91,191798
01/01/92,191953
01/02/92,192067
01/03/92,192204
01/04/92,192354
01/05/92,192503
01/06/92,192663
01/07/92,192826
01/08/92,193018
01/09/92,193229
01/10/92,193442
01/11/92,193621
01/12/92,193784
01/01/93,193962
01/02/93,194108
01/03/93,194248
01/04/93,194398
01/05/93,194549
01/06/93,194719
01/07/93,194882
01/08/93,195063
01/09/93,195259
01/10/93,195444
01/11/93,195625
01/12/93,195794
01/01/94,195953
01/02/94,196090
01/03/94,196213
01/04/94,196363
01/05/94,196510
01/06/94,196693
01/07/94,196859
01/08/94,197043
01/09/94,197248
01/10/94,197430
01/11/94,197607
01/12/94,197765
01/01/95,197753
01/02/95,197886
01/03/95,198007
01/04/95,198148
01/05/95,198286
01/06/95,198453
01/07/95,198615
01/08/95,198801
01/09/95,199005
01/10/95,199192
01/11/95,199355
01/12/95,199508
01/01/96,199634
01/02/96,199773
01/03/96,199921
01/04/96,200101
01/05/96,200278
01/06/96,200459
01/07/96,200641
01/08/96,200847
01/09/96,201061
01/10/96,201273
01/11/96,201463
01/12/96,201636
01/01/97,202285
01/02/97,202389
01/03/97,202513
01/04/97,202674
01/05/97,202832
01/06/97,203000
01/07/97,203166
01/08/97,203364
01/09/97,203570
01/10/97,203767
01/11/97,203941
01/12/97,204098
01/01/98,204238
01/02/98,204400
01/03/98,204547
01/04/98,204731
01/05/98,204899
01/06/98,205085
01/07/98,205270
01/08/98,205479
01/09/98,205699
01/10/98,205919
01/11/98,206104
01/12/98,206270
01/01/99,206719
01/02/99,206873
01/03/99,207036
01/04/99,207236
01/05/99,207427
01/06/99,207632
01/07/99,207828
01/08/99,208038
01/09/99,208265
01/10/99,208483
01/11/99,208666
01/12/99,208832
01/01/00,211410
01/02/00,211576
01/03/00,211772
01/04/00,212018
01/05/00,212242
01/06/00,212466
01/07/00,212677
01/08/00,212916
01/09/00,213163
01/10/00,213405
01/11/00,213540
01/12/00,213736
01/01/01,213888
01/02/01,214110
01/03/01,214305
01/04/01,214525
01/05/01,214732
01/06/01,214950
01/07/01,215180
01/08/01,215420
01/09/01,215665
01/10/01,215903
01/11/01,216117
01/12/01,216315
01/01/02,216506
01/02/02,216663
01/03/02,216823
01/04/02,217006
01/05/02,217198
01/06/02,217407
01/07/02,217630
01/08/02,217866
01/09/02,218107
01/10/02,218340
01/11/02,218548
01/12/02,218741
01/01/03,219897
01/02/03,220114
01/03/03,220317
01/04/03,220540
01/05/03,220768
01/06/03,221014
01/07/03,221252
01/08/03,221507
01/09/03,221779
01/10/03,222039
01/11/03,222279
01/12/03,222509
01/01/04,222161
01/02/04,222357
01/03/04,222550
01/04/04,222757
01/05/04,222967
01/06/04,223196
01/07/04,223422
01/08/04,223677
01/09/04,223941
01/10/04,224192
01/11/04,224422
01/12/04,224640
01/01/05,224837
01/02/05,225041
01/03/05,225236
01/04/05,225441
01/05/05,225670
